Cn8Code,Cn8LongDescription,EU / NON EU,Continent,Country,PortName,Value (£),Net Mass (Kg),Supp Unit,Flow Type,Year,Month
01012100,Pure-bred breeding horses,EU,European Union,France,Not Collected,4579640.0,13166.0,54.0,EU Imports,2015,December
01012100,Pure-bred breeding horses,EU,European Union,Germany,Not Collected,262011.0,2836.0,6.0,EU Imports,2015,December
01012100,Pure-bred breeding horses,EU,European Union,Ireland,Not Collected,56537615.0,135663.0,296.0,EU Imports,2015,December
01012100,Pure-bred breeding horses,EU,European Union,Denmark,Not Collected,23100.0,477.0,1.0,EU Imports,2015,December
01012100,Pure-bred breeding horses,EU,European Union,Sweden,Not Collected,8715.0,955.0,2.0,EU Imports,2015,December
01022130,Pure-bred breeding cows (excl. heifers),EU,European Union,Netherlands,Not Collected,89335.0,48687.0,78.0,EU Imports,2015,December
01022130,Pure-bred breeding cows (excl. heifers),EU,European Union,Ireland,Not Collected,4745.0,2400.0,4.0,EU Imports,2015,December
01022190,Pure-bred cattle for breeding (excl. heifers and cows),EU,European Union,Netherlands,Not Collected,95198.0,713.0,2.0,EU Imports,2015,December
01022190,Pure-bred cattle for breeding (excl. heifers and cows),EU,European Union,Germany,Not Collected,11422.0,713.0,2.0,EU Imports,2015,December
01022190,Pure-bred cattle for breeding (excl. heifers and cows),EU,European Union,Ireland,Not Collected,3404.0,1200.0,2.0,EU Imports,2015,December
01022921,"Cattle of a weight > 80 kg but <= 160 kg, for slaughter",EU,European Union,Ireland,Not Collected,1110937.0,117290.0,1079.0,EU Imports,2015,December
01022949,"Live cattle of a weight > 160 kg but <= 300 kg (excl. for slaughter, pure-bred for breeding)",EU,European Union,Germany,Not Collected,247404.0,45800.0,229.0,EU Imports,2015,December
01022951,"Heifers ""female bovines that have never calved"" of a weight > 300 kg, for slaughter",EU,European Union,Ireland,Not Collected,481117.0,189529.0,559.0,EU Imports,2015,December
01029099,"Live bovine animals (excl. cattle, buffalo, pure-bred for breeding and domestic species)",EU,European Union,Netherlands,Not Collected,156.0,5.0,10.0,EU Imports,2015,December
01039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",EU,European Union,Ireland,Not Collected,182553.0,76660.0,3932.0,EU Imports,2015,December
01039110,"Domestic swine, weighing < 50 kg (excl. pure-bred for breeding)",EU,European Union,Denmark,Not Collected,4943.0,15.0,15.0,EU Imports,2015,December
01039219,"Live domestic swine, weighing >= 50 kg (excl. sows having farrowed at least once and weighing >= 160 kg, and those pure-bred for breeding)",EU,European Union,Ireland,Not Collected,3626184.0,3684005.0,43410.0,EU Imports,2015,December
01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),EU,European Union,France,Not Collected,188519.0,810.0,40500.0,EU Imports,2015,December
01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),EU,European Union,Netherlands,Not Collected,1447439.0,761.0,15600.0,EU Imports,2015,December
01051119,Grandparent and parent female chicks fowls of the species Gallus domesticus of a weight of <= 185 g (excl. laying stocks),EU,European Union,Germany,Not Collected,18627.0,431.0,12320.0,EU Imports,2015,December
01051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),EU,European Union,Ireland,Not Collected,593146.0,169687.0,2938326.0,EU Imports,2015,December
01051199,Live fowls of the species Gallus domesticus of a weight of <= 185 g (excl. grandparent and parent female chicks and laying stocks),EU,European Union,Greece,Not Collected,5165.0,5.0,109.0,EU Imports,2015,December
01059400,"Live fowls of the species Gallus domesticus, weighing > 185",EU,European Union,Ireland,Not Collected,31484.0,208492.0,58236.0,EU Imports,2015,December
01059930,"Live domestic turkeys, weighing > 185 g",NON EU,N/A,N/A,Not Collected,497.0,35.0,1.0,EU Imports,2015,December
01059930,"Live domestic turkeys, weighing > 185 g",EU,European Union,Ireland,Ошибка: Не удалось получить название порта,641770.0,391080.0,52576.0,EU Imports,2015,December
01059950,"Live domestic guinea fowls, weighing > 185 g",EU,European Union,Spain,Not Collected,437.0,42.0,156.0,EU Imports,2015,December
01061100,Live primates,EU,European Union,France,Not Collected,172850.0,359.0,121.0,EU Imports,2015,December
01061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",EU,European Union,France,Not Collected,24265.0,42.0,0.0,EU Imports,2015,December
01061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",EU,European Union,Netherlands,Not Collected,4410.0,119.0,0.0,EU Imports,2015,December
01061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",EU,European Union,Germany,Not Collected,5509.0,4.0,0.0,EU Imports,2015,December
01061900,"Live mammals (excl. primates, whales, dolphins and porpoises, manatees and dugongs, seals, sea lions and walruses, camels and other camelids, rabbits and hares, horses, asses, mules, hinnies, bovines, pigs, sheep and goats)",EU,European Union,Italy,Not Collected,4081.0,73.0,0.0,EU Imports,2015,December
01062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",EU,European Union,Germany,Not Collected,6559.0,81.0,325.0,EU Imports,2015,December
01062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",EU,European Union,Ireland,Not Collected,345.0,4.0,14.0,EU Imports,2015,December
01062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",EU,European Union,Portugal,Not Collected,1537.0,11.0,84.0,EU Imports,2015,December
01062000,"Live reptiles ""e.g. snakes, turtles, alligators, caymans, iguanas, gavials and lizards""",EU,European Union,Czechia,Not Collected,5930.0,10.0,419.0,EU Imports,2015,December
01063980,"Live birds (excl. birds of prey, psittaciformes, parrots, parrakeets, macaws, cockatoos, ostriches, emus and pigeons)",EU,European Union,Netherlands,Not Collected,59.0,5.0,0.0,EU Imports,2015,December
01064100,Live bees,EU,European Union,Netherlands,Not Collected,5418.0,1422.0,0.0,EU Imports,2015,December
01064100,Live bees,EU,European Union,Belgium,Not Collected,412.0,57.0,0.0,EU Imports,2015,December
